last_name,first_name,birthday,gender,type,state,party
Abercrombie,Neil,6/26/1938,M,Rep,HI,D
Ackerman,Gary,11/19/1942,M,Rep,NY,D
Aderholt,Robert,7/22/1965,M,Rep,AL,R
Akaka,Daniel,9/11/1924,M,Sen,HI,D
Allard,Wayne,12/2/1943,M,Sen,CO,R
Andrews,Robert,8/4/1957,M,Rep,NJ,D
Allen,Thomas,4/16/1945,,Rep,ME,D
Akin,W.,7/5/1947,M,Rep,MO,R
Alexander,Lamar,7/3/1940,M,Sen,TN,R
Alexander,Rodney,12/5/1946,M,Rep,LA,R
Altmire,Jason,3/7/1968,M,Rep,PA,D
Arcuri,Michael,6/11/1959,M,Rep,NY,D
Adler,John,8/23/1959,M,Rep,NJ,D
Austria,Steve,10/12/1958,M,Rep,OH,R
Adams,Sandy,12/14/1956,F,Rep,FL,R
Amash,Justin,4/18/1980,M,Rep,MI,R
Ayotte,Kelly,6/27/1968,F,Sen,NH,R
Amodei,Mark,6/12/1958,M,Rep,NV,R
Bachus,Spencer,12/28/1947,M,Rep,AL,R
Baker,Richard,5/22/1948,M,Rep,LA,R
Bartlett,Roscoe,6/3/1926,M,Rep,MD,R
Barton,Joe,9/15/1949,M,Rep,TX,R
Bass,Charles,1/8/1952,M,Rep,NH,R
Baucus,Max,12/11/1941,M,Sen,MT,D
Becerra,Xavier,1/26/1958,M,Rep,CA,D
Bennett,Robert,9/18/1933,M,Sen,UT,R
Berman,Howard,4/15/1941,,Rep,CA,D
Berry,Robert,8/27/1942,M,Rep,AR,D
Biden,Joseph,11/20/1942,M,Sen,DE,D
Bilbray,Brian,1/28/1951,M,Rep,CA,R
Bingaman,Jeff,10/3/1943,M,Sen,NM,D
Bishop,Sanford,2/4/1947,M,Rep,GA,D
Blumenauer,Earl,8/16/1948,M,Rep,OR,D
Blunt,Roy,1/10/1950,M,Sen,MO,R
Boehner,John,11/17/1949,M,Rep,OH,R
Bond,Christopher,3/6/1939,M,Sen,MO,R
Boswell,Leonard,1/10/1934,M,Rep,IA,D
Boucher,Frederick,8/1/1946,M,Rep,VA,D
Boxer,Barbara,11/11/1940,F,Sen,CA,D
Boyd,Allen,6/6/1945,M,Rep,FL,D
Brady,Kevin,4/11/1955,M,Rep,TX,R
Brown,Corrine,11/11/1946,F,Rep,FL,D
Brown,Sherrod,11/9/1952,,Sen,OH,D
Brownback,Samuel,9/12/1956,M,Sen,KS,R
Bunning,Jim,10/23/1931,M,Sen,KY,R
Burr,Richard,11/30/1955,M,Sen,NC,R
Burton,Dan,6/21/1938,M,Rep,IN,R
Buyer,Stephen,11/26/1958,M,Rep,IN,R
Byrd,Robert,11/20/1917,M,Sen,WV,D
Brady,Robert,4/7/1945,M,Rep,PA,D
Bono Mack,Mary,10/24/1961,F,Rep,CA,R
Baird,Brian,3/7/1956,M,Rep,WA,D
Baldwin,Tammy,2/11/1962,F,Sen,WI,D
Berkley,Shelley,1/20/1951,F,Rep,NV,D
Biggert,Judy,8/15/1937,F,Rep,IL,R
Bayh,Evan,12/26/1955,M,Sen,IN,D
Baca,Joe,1/23/1947,M,Rep,CA,D
Brown,Henry,12/20/1935,M,Rep,SC,R
Boozman,John,12/10/1950,M,Sen,AR,R
Barrett,James,2/14/1961,M,Rep,SC,R
Bishop,Timothy,6/1/1950,M,Rep,NY,D
Blackburn,Marsha,6/6/1952,F,Rep,TN,R
Bonner,Jo,11/19/1959,M,Rep,AL,R
Bordallo,Madeleine,5/31/1933,F,Rep,GU,D
Brown-Waite,Virginia,10/5/1943,F,Rep,FL,R
Burgess,Michael,12/23/1950,M,Rep,TX,R
Bishop,Rob,7/13/1951,M,Rep,UT,R
Butterfield,George,4/27/1947,M,Rep,NC,D
Barrow,John,10/31/1955,M,Rep,GA,D
Bean,Melissa,1/22/1962,F,Rep,IL,D
Boren,Dan,8/2/1973,M,Rep,OK,D
Boustany,Charles,2/21/1956,,Rep,LA,R
Bachmann,Michele,4/6/1956,F,Rep,MN,R
Bilirakis,Gus,2/8/1963,M,Rep,FL,R
Boyda,Nancy,8/2/1955,F,Rep,KS,D
Braley,Bruce,10/30/1957,M,Rep,IA,D
Buchanan,Vern,5/8/1951,M,Rep,FL,R
Barrasso,John,7/21/1952,M,Sen,WY,R
Broun,Paul,5/14/1946,M,Rep,GA,R
Boccieri,John,10/5/1969,M,Rep,OH,D
Bright,Bobby,7/21/1952,M,Rep,AL,D
Begich,Mark,3/30/1962,M,Sen,AK,D
Burris,Roland,8/3/1937,M,Sen,IL,D
Bennet,Michael,11/28/1964,M,Sen,CO,D
Brown,Scott,9/12/1959,M,Sen,MA,R
Barletta,Lou,1/28/1956,M,Rep,PA,R
Bass,Karen,10/3/1953,F,Rep,CA,D
Benishek,Dan,4/20/1952,M,Rep,MI,R
Berg,Rick,8/16/1959,M,Rep,ND,R
Black,Diane,1/16/1951,F,Rep,TN,R
Brooks,Mo,4/29/1954,M,Rep,AL,R
Bucshon,Larry,5/31/1962,M,Rep,IN,R
Buerkle,Ann Marie,5/8/1951,F,Rep,NY,R
Blumenthal,Richard,2/13/1946,M,Sen,CT,D
Bonamici,Suzanne,10/14/1954,,Rep,OR,D
Barber,Ron,8/25/1945,M,Rep,AZ,D
Bentivolio,Kerry,10/6/1951,M,Rep,MI,R
Beatty,Joyce,3/12/1950,F,Rep,OH,D
Barr,Garland,7/24/1973,M,Rep,KY,R
Bridenstine,Jim,6/15/1975,M,Rep,OK,R
Brooks,Susan,8/25/1960,F,Rep,IN,R
Brownley,Julia,8/28/1952,F,Rep,CA,D
Bustos,Cheri,10/17/1961,F,Rep,IL,D
Bera,Ami,3/2/1965,M,Rep,CA,D
Calvert,Ken,6/8/1953,M,Rep,CA,R
Camp,Dave,7/9/1953,M,Rep,MI,R
Cannon,Christopher,10/20/1950,M,Rep,UT,R
Cantwell,Maria,10/13/1958,F,Sen,WA,D
Cardin,Benjamin,10/5/1943,M,Sen,MD,D
Carper,Thomas,1/23/1947,M,Sen,DE,D
Carson,Julia,7/8/1938,F,Rep,IN,D
Castle,Michael,7/2/1939,M,Rep,DE,R
Chabot,Steve,1/22/1953,M,Rep,OH,R
Chambliss,Saxby,11/10/1943,M,Sen,GA,R
Christensen,Donna,9/19/1945,F,Rep,VI,D
Clyburn,James,7/21/1940,M,Rep,SC,D
Coats,Daniel,5/16/1943,M,Sen,IN,R
Coble,Howard,3/18/1931,M,Rep,NC,R
Coburn,Thomas,3/14/1948,M,Sen,OK,R
Cochran,Thad,12/7/1937,M,Sen,MS,R
Conrad,Kent,3/12/1948,M,Sen,ND,D
Conyers,John,5/16/1929,M,Rep,MI,D
Cooper,Jim,6/19/1954,M,Rep,TN,D
Costello,Jerry,9/25/1949,M,Rep,IL,D
Craig,Larry,7/20/1945,M,Sen,ID,R
Cramer,Robert,8/22/1947,M,Rep,AL,D
Crapo,Michael,5/20/1951,M,Sen,ID,R
Cubin,Barbara,11/30/1946,F,Rep,WY,R
Cummings,Elijah,1/18/1951,M,Rep,MD,D
Collins,Susan,12/7/1952,F,Sen,ME,R
Capps,Lois,1/10/1938,F,Rep,CA,D
Capuano,Michael,1/9/1952,M,Rep,MA,D
Crowley,Joseph,3/16/1962,M,Rep,NY,D
Clinton,Hillary,10/26/1947,F,Sen,NY,D
Crenshaw,Ander,9/1/1944,M,Rep,FL,R
Cantor,Eric,6/6/1963,M,Rep,VA,R
Capito,Shelley,11/26/1953,,Rep,WV,R
Culberson,John,8/24/1956,M,Rep,TX,R
Clay,Wm.,7/27/1956,M,Rep,MO,D
Cardoza,Dennis,3/31/1959,M,Rep,CA,D
Carter,John,11/6/1941,M,Rep,TX,R
Cole,Tom,4/28/1949,M,Rep,OK,R
Cornyn,John,2/2/1952,M,Sen,TX,R
Coleman,Norm,8/17/1949,M,Sen,MN,R
Chandler,Ben,9/12/1959,M,Rep,KY,D
Costa,Jim,4/13/1952,M,Rep,CA,D
Carnahan,Russ,7/10/1958,M,Rep,MO,D
Cleaver,Emanuel,10/26/1944,M,Rep,MO,D
Conaway,K.,6/11/1948,M,Rep,TX,R
Cuellar,Henry,9/19/1955,M,Rep,TX,D
Campbell,John,7/19/1955,M,Rep,CA,R
Carney,Christopher,3/2/1959,M,Rep,PA,D
Castor,Kathy,8/20/1966,F,Rep,FL,D
Clarke,Yvette,11/21/1964,F,Rep,NY,D
Cohen,Steve,5/24/1949,M,Rep,TN,D
Courtney,Joe,4/6/1953,M,Rep,CT,D
Casey,Robert,4/13/1960,M,Sen,PA,D
Corker,Bob,8/24/1952,M,Sen,TN,R
Carson,André,10/16/1974,M,Rep,IN,D
Cazayoux,Donald,1/17/1964,M,Rep,LA,D
Childers,Travis,3/29/1958,M,Rep,MS,D
Cassidy,Bill,9/28/1957,M,Rep,LA,R
Chaffetz,Jason,3/26/1967,M,Rep,UT,R
Coffman,Mike,3/19/1955,M,Rep,CO,R
Connolly,Gerald,3/30/1950,M,Rep,VA,D
Cao,Anh,3/13/1967,M,Rep,LA,R
Chu,Judy,7/7/1953,F,Rep,CA,D
Critz,Mark,1/5/1962,M,Rep,PA,D
Canseco,Francisco,7/30/1949,M,Rep,TX,R
Carney,John,5/20/1956,M,Rep,DE,D
Cicilline,David,7/15/1961,M,Rep,RI,D
Clarke,Hansen,3/2/1957,M,Rep,MI,D
Cravaack,Chip,12/29/1959,M,Rep,MN,R
