,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
0,82,0.35491926090000003,956,'2 2BR','2000-2009',0
1,50,0.047527264699999995,1100,'4 4BR+','1980-1989',123000
2,53,0.6027025095,1100,'4 4BR+','1980-1989',28000
3,67,0.1039106145,949,'3 3BR','1980-1989',0
4,26,0.094019035,737,'2 2BR','1980-1989',96900
5,56,0.5564822846,657,'1 1BR','1980-1989',15000
6,50,0.1998227609,988,'3 3BR','1980-1989',70001
7,26,0.366,773,'2 2BR','1980-1989',20000
8,60,0.1165841647,1125,'3 3BR','1980-1989',107000
9,26,0.2750744993,552,'1 1BR','1980-1989',48000
10,59,0.21826555179999999,949,'3 3BR','1980-1989',60000
11,54,0.0909561668,1239,'4 4BR+','2000-2009',197000
12,25,0.1954275593,751,'2 2BR','2000-2009',61000
13,53,0.1594257732,1002,'3 3BR','2000-2009',30000
14,52,0.1395862906,1114,'4 4BR+','2000-2009',181000
15,67,0.3983636364,1239,'4 4BR+','1980-1989',40000
16,22,0.1715347596,706,'2 2BR','2000-2009',42000
17,55,0.17350007920000002,1277,'3 3BR','1980-1989',89675
18,57,0.1706810496,993,'3 3BR','1980-1989',73000
19,84,0.1521428571,975,'2 2BR','1980-1989',0
20,55,0.22640619469999998,794,'2 2BR','2000-2009',0
21,74,0.0763193505,752,'2 2BR','2000-2009',0
22,67,0.0467412076,794,'2 2BR','1990-1999',0
23,70,0.12203823009999999,1102,'3 3BR','1990-1999',0
24,59,0.056741551900000006,973,'3 3BR','2000-2009',150000
25,62,0.16979326190000002,718,'2 2BR','1990-1999',0
26,32,0.1774200528,1349,'4 4BR+','2000-2009',69353
27,-9,-9.0,868,'2 2BR','1980-1989',-9
28,54,0.1274565694,1528,'4 4BR+','2000-2009',200000
29,25,0.0956524348,1282,'3 3BR','After 2010',100000
30,41,0.1987012987,1282,'3 3BR','1980-1989',71000
31,50,0.047179463600000006,949,'3 3BR','1990-1999',82423
32,15,-1.0,792,'2 2BR','2000-2009',0
33,54,0.099221498,1032,'3 3BR','1980-1989',35000
34,24,1.2271906958,1158,'3 3BR','2000-2009',10000
35,28,0.3633378214,737,'1 1BR','1990-1999',30464
36,24,0.1539615673,874,'2 2BR','2000-2009',50000
37,40,0.6046344099000001,1217,'4 4BR+','2000-2009',25013
38,26,0.04476057519999999,1058,'3 3BR','2000-2009',135000
39,50,0.18503248320000001,1158,'3 3BR','2000-2009',132000
40,86,0.2966507177,576,'1 1BR','1980-1989',0
41,60,0.0927579974,1209,'4 4BR+','1990-1999',69000
42,39,0.296836983,1058,'3 3BR','2000-2009',41912
43,34,0.1599519844,1210,'2 2BR','1980-1989',40000
44,64,0.0485436279,1574,'3 3BR','1990-1999',158000
45,52,0.1770071689,1251,'3 3BR','1990-1999',86000
46,71,0.5677777778,1025,'3 3BR','1990-1999',0
47,34,0.0,1087,'1 1BR','1980-1989',36000
48,72,0.12047999999999999,1336,'4 4BR+','1980-1989',0
49,34,0.29543261719999997,1474,'2 2BR','2000-2009',220800
50,64,0.147781653,750,'2 2BR','1980-1989',74000
51,53,0.20993040629999998,1044,'3 3BR','2000-2009',47000
52,45,0.1036956584,1044,'3 3BR','2000-2009',105000
53,33,0.2505087209,1044,'3 3BR','2000-2009',50000
54,29,0.5171214346,729,'2 2BR','2000-2009',25900
55,59,0.060344515999999994,1082,'4 4BR+','1980-1989',414943
56,33,0.32157676350000003,1044,'3 3BR','After 2010',24000
57,50,0.14308701570000001,1233,'4 4BR+','2000-2009',97000
58,52,0.2119447897,981,'4 4BR+','1980-1989',0
59,32,0.07019009820000001,649,'2 2BR','1980-1989',0
60,65,3.9300361882,1430,'3 3BR','2000-2009',2500
61,24,0.42747786060000004,1531,'4 4BR+','2000-2009',40000
62,42,4.54,1045,'3 3BR','2000-2009',0
63,52,0.6234175829,1045,'3 3BR','1990-1999',68000
64,82,0.0436624705,726,'2 2BR','2000-2009',65000
65,51,0.1282446232,1302,'3 3BR','2000-2009',104000
66,64,0.1765714286,702,'1 1BR','2000-2009',7000
67,23,0.17232,796,'2 2BR','1990-1999',48000
68,31,0.2993716785,1435,'4 4BR+','2000-2009',70000
69,49,0.2764563943,1277,'3 3BR','2000-2009',34838
70,60,0.0643483913,1077,'3 3BR','1980-1989',0
71,64,0.29100000000000004,1002,'3 3BR','1990-1999',0
72,22,1.1763022323999999,751,'2 2BR','1980-1989',7000
73,56,0.037171548,987,'3 3BR','1980-1989',341943
74,-9,-9.0,749,'0 Studio','1990-1999',-9
75,43,0.1282532966,1130,'4 4BR+','2000-2009',159500
76,40,0.2493240918,1019,'3 3BR','2000-2009',183000
77,-9,-9.0,589,'1 1BR','2000-2009',-9
78,38,0.2517112205,1151,'4 4BR+','1980-1989',102000
79,28,4364.5714286,1421,'3 3BR','2000-2009',0
80,32,342.0,1050,'2 2BR','1980-1989',0
81,60,0.6429881777,1723,'4 4BR+','2000-2009',0
82,43,0.2054095761,1528,'4 4BR+','2000-2009',70000
83,66,0.4646153846,1151,'4 4BR+','1980-1989',0
84,43,0.8410934214,1282,'3 3BR','2000-2009',400
85,31,0.3429333333,1421,'3 3BR','2000-2009',29557
86,66,0.1301845018,1528,'4 4BR+','2000-2009',0
87,24,0.2968888889,769,'1 1BR','1980-1989',25000
88,36,0.17673048600000002,1282,'3 3BR','After 2010',25000
89,38,0.2810271377,1050,'2 2BR','2000-2009',85000
90,58,0.43369969490000004,1957,'4 4BR+','2000-2009',143600
91,44,0.12255227839999999,1363,'4 4BR+','1980-1989',122000
92,41,0.5025666708,944,'1 1BR','1980-1989',16000
93,40,0.3470685317,1570,'3 3BR','2000-2009',37000
94,57,0.0986488891,1257,'4 4BR+','1980-1989',184000
95,39,1.3180826602,1056,'3 3BR','1990-1999',34000
96,54,0.22542813679999998,1693,'4 4BR+','2000-2009',2300
97,76,1.4982857143000001,1302,'3 3BR','2000-2009',0
98,25,0.4709049493,1302,'3 3BR','2000-2009',29000
99,37,0.12903225810000002,1302,'3 3BR','2000-2009',97000
100,50,0.1603347392,1129,'2 2BR','1980-1989',120000
101,60,0.1563539048,2077,'4 4BR+','2000-2009',352943
102,40,0.2671101446,892,'0 Studio','2000-2009',86000
103,39,0.2711696722,1210,'2 2BR','2000-2009',44500
104,-9,-9.0,776,'2 2BR','1980-1989',-9
105,39,0.1603907153,1070,'4 4BR+','2000-2009',231000
106,50,0.052180989000000004,971,'3 3BR','1980-1989',118000
107,88,0.06896966780000001,1012,'2 2BR','2000-2009',0
108,36,0.2171945701,988,'3 3BR','2000-2009',65000
109,44,0.1327021684,1032,'3 3BR','2000-2009',127000
110,52,0.0581473566,1187,'4 4BR+','2000-2009',98000
111,35,0.2847457627,1282,'3 3BR','2000-2009',60000
112,35,0.15857914509999999,849,'3 3BR','2000-2009',90000
113,41,0.42614852049999996,931,'4 4BR+','1990-1999',115000
114,71,0.1498742666,1725,'4 4BR+','1990-1999',0
115,-9,-9.0,3100,'4 4BR+','2000-2009',-9
116,31,0.2103733653,1833,'2 2BR','2000-2009',95000
117,34,0.1332288663,1833,'2 2BR','2000-2009',120000
118,57,0.3285970149,1392,'1 1BR','1980-1989',50000
