AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
-9,-9.0,1048,'3 3BR','2000-2009',-9
69,0.1207594937,1048,'3 3BR','2000-2009',0
45,0.3683076923,757,'3 3BR','1980-1989',26000
47,0.099419707,847,'4 4BR+','1980-1989',126000
30,0.1340625,616,'2 2BR','1980-1989',42000
50,0.2824,605,'1 1BR','1980-1989',15000
44,0.0885517241,807,'3 3BR','1980-1989',145000
-9,-9.0,778,'2 2BR','1980-1989',-9
24,0.07925,599,'2 2BR','1980-1989',96000
53,0.1526117647,757,'3 3BR','1980-1989',85000
49,0.1589174185,974,'4 4BR+','2000-2009',165000
44,0.1857203211,974,'4 4BR+','2000-2009',71000
61,0.2109230769,956,'4 4BR+','1980-1989',104000
29,1.608,572,'2 2BR','1980-1989',0
21,0.30768,572,'2 2BR','2000-2009',25000
49,0.2167345867,1097,'3 3BR','1980-1989',93000
31,0.1394906661,871,'4 4BR+','1980-1989',485968
51,0.2960747664,900,'3 3BR','1980-1989',53500
49,0.0399648506,930,'3 3BR','2000-2009',90000
61,0.30923076920000003,930,'3 3BR','1990-1999',0
45,-1.0,930,'3 3BR','1990-1999',0
53,0.1532631579,923,'4 4BR+','2000-2009',150000
56,0.0661293107,818,'3 3BR','1990-1999',125000
20,0.545,583,'1 1BR','1980-1989',12000
48,0.15204,1169,'4 4BR+','2000-2009',200000
34,0.2228148148,1042,'3 3BR','1980-1989',81000
44,0.07952000000000001,847,'4 4BR+','1990-1999',70000
39,0.3519272727,961,'4 4BR+','2000-2009',55000
54,0.29072,882,'3 3BR','2000-2009',130000
46,0.02768,948,'3 3BR','2000-2009',150000
50,0.5881656805,951,'4 4BR+','1980-1989',50000
-9,-9.0,948,'3 3BR','2000-2009',-9
24,0.2005090909,700,'1 1BR','1990-1999',55000
17,0.4846666667,961,'4 4BR+','2000-2009',18000
-9,-9.0,779,'2 2BR','2000-2009',-9
80,0.3275473698,481,'1 1BR','1980-1989',0
39,0.0709884057,831,'3 3BR','1980-1989',0
54,0.1767871156,956,'4 4BR+','1990-1999',85000
17,0.4477452229,1466,'4 4BR+','1980-1989',139000
84,0.12,1064,'2 2BR','1980-1989',0
48,0.0656,1205,'3 3BR','1980-1989',60000
58,0.052023529400000004,1820,'4 4BR+','1990-1999',105000
-9,-9.0,757,'3 3BR','2000-2009',-9
46,0.4696,1043,'3 3BR','1990-1999',0
45,0.17526857140000002,910,'3 3BR','2000-2009',75000
64,0.0645719178,815,'3 3BR','1990-1999',200000
64,0.1102396514,1174,'4 4BR+','1980-1989',10500
58,0.16176,689,'2 2BR','1980-1989',25000
47,0.4295,883,'3 3BR','2000-2009',24000
39,0.1387058824,883,'3 3BR','2000-2009',68000
53,0.1917859134,923,'4 4BR+','1980-1989',112976
44,0.3184,910,'3 3BR','2000-2009',60000
47,0.1974857143,676,'1 1BR','1980-1989',35000
28,0.2245,757,'3 3BR','1990-1999',96000
52,0.13242,883,'4 4BR+','1980-1989',189000
36,0.24791999999999997,897,'4 4BR+','1960-1979',50000
65,0.2510670349,615,'2 2BR','1980-1989',7000
59,0.660104834,1157,'3 3BR','2000-2009',12000
33,0.5929756098,1362,'4 4BR+','2000-2009',82000
31,0.3464197531,1204,'4 4BR+','2000-2009',43500
-9,-9.0,710,'2 2BR','2000-2009',-9
36,0.2057142857,735,'3 3BR','2000-2009',21000
44,1.0142727273,735,'3 3BR','1990-1999',44000
45,0.2257826087,1205,'3 3BR','2000-2009',84000
48,0.1653633073,700,'2 2BR','1990-1999',26470
32,0.8658333333,1097,'3 3BR','2000-2009',36000
54,0.0521806946,847,'3 3BR','1980-1989',68000
50,0.136728134,900,'4 4BR+','1980-1989',117000
80,0.1406835314,706,'1 1BR','1990-1999',0
37,0.2465538462,886,'4 4BR+','2000-2009',130000
33,0.4504551724000001,831,'3 3BR','2000-2009',145000
22,1.8031578947,538,'1 1BR','2000-2009',3800
27,0.0561312661,900,'4 4BR+','1980-1989',175000
28,0.0393846154,1137,'3 3BR','2000-2009',195000
24,0.2312684366,836,'2 2BR','1980-1989',25425
60,0.11533333330000001,783,'3 3BR','1980-1989',72000
