id,last,first,player_debut,mgr_debut,coach_debut,ump_debut
aardd001,"Aardsma","David",04/06/2004,,,
aaroh101,"Aaron","Hank",04/13/1954,,,
aarot101,"Aaron","Tommie",04/10/1962,,04/06/1979,
aased001,"Aase","Don",07/26/1977,,,
abada001,"Abad","Andy",09/10/2001,,,
abadf001,"Abad","Fernando",07/28/2010,,,
abadj101,"Abadie","John",04/26/1875,,,
abbae101,"Abbaticchio","Ed",09/04/1897,,,
abbeb101,"Abbey","Bert",06/14/1892,,,
abbec101,"Abbey","Charlie",08/16/1893,,,07/21/1897
abbod101,"Abbott","Dan",04/19/1890,,,
abbof101,"Abbott","Fred",04/25/1903,,,08/21/1905
abbog001,"Abbott","Glenn",07/29/1973,,,
abboj002,"Abbott","Jeff",06/10/1997,,,
abboj001,"Abbott","Jim",04/08/1989,,,
abbok002,"Abbott","Kurt",09/07/1993,,,
abbok001,"Abbott","Kyle",09/10/1991,,,
abboo101,"Abbott","Ody",09/10/1910,,,
abbop001,"Abbott","Paul",08/21/1990,,,
abbos801,"Abbott","Spencer",,,04/17/1935,
abera101,"Aber","Al",09/15/1950,,,
aberd101,"Abercrombie","Frank",10/21/1871,,,
aberr001,"Abercrombie","Reggie",04/04/2006,,,
aberb101,"Abernathie","Bill",09/27/1952,,,
aberb001,"Abernathy","Brent",06/25/2001,,,
abert101,"Abernathy","Ted",04/13/1955,,,
abert102,"Abernathy","Ted",09/19/1942,,,
aberw101,"Abernathy","Woody",07/28/1946,,,
aberc101,"Aberson","Cliff",07/18/1947,,,
ableh101,"Ables","Harry",09/04/1905,,,
abnes001,"Abner","Shawn",09/08/1987,,,
abrac101,"Abrams","Cal",04/19/1949,,,
abrag101,"Abrams","George",04/19/1923,,,
abrej001,"Abrego","Johnny",09/04/1985,,,
abreb001,"Abreu","Bobby",09/01/1996,,,
abrej101,"Abreu","Joe",04/23/1942,,,
abrej003,"Abreu","Jose",03/31/2014,,,
abrej002,"Abreu","Juan",08/29/2011,,,
abret001,"Abreu","Tony",05/22/2007,,,
abrew001,"Abreu","Winston",08/06/2006,,,
abstb101,"Abstein","Bill",09/25/1906,,,
accaj001,"Accardo","Jeremy",05/04/2005,,,
acevj002,"Acevedo","Jose",06/19/2001,,,
acevj001,"Acevedo","Juan",04/30/1995,,,
aceva001,"Aceves","Alfredo",08/31/2008,,,
achta001,"Achter","A.J.",09/03/2014,,,
ackej001,"Acker","Jim",04/07/1983,,,
acket101,"Acker","Tom",04/20/1956,,,
ackld001,"Ackley","Dustin",06/17/2011,,,
acklf101,"Ackley","Fritz",09/21/1963,,,
acosc101,"Acosta","Cy",06/04/1972,,,
acose101,"Acosta","Ed",09/07/1970,,,
acosj101,"Acosta","Jose",07/28/1920,,,
acosm001,"Acosta","Manny",08/12/2007,,,
acosm101,"Acosta","Merito",06/15/1913,,,
acoso801,"Acosta","Oscar",,,03/29/2000,
acrem001,"Acre","Mark",05/13/1994,,,
actam801,"Acta","Manny",,4/2/2007,04/02/2002,
adaib801,"Adair","Bill",,9/2/1970,04/10/1962,
adaij101,"Adair","Jerry",09/02/1958,,04/15/1972,
adaij102,"Adair","Jimmy",08/24/1931,,04/17/1951,
adair801,"Adair","Rick",,,04/06/1992,
adamc001,"Adames","Cristhian",07/29/2014,,,
adama101,"Adams","Ace",04/15/1941,,,
adama001,"Adams","Austin",07/12/2014,,,
adama002,"Adams","Austin",07/15/2017,,,
adamb104,"Adams","Babe",04/18/1906,,,
adamb105,"Adams","Bob",07/10/1977,,,
adamb107,"Adams","Bob",09/22/1925,,,
adamb102,"Adams","Bob",09/27/1931,,,
adamb103,"Adams","Bobby",04/16/1946,,04/11/1961,
adamb101,"Adams","Buster",04/27/1939,,,
adamc901,"Adams","Clarence",,,,05/22/1976
adamd103,"Adams","Dan",05/22/1914,,,
adamd001,"Adams","David",05/15/2013,,,
adamd102,"Adams","Dick",05/20/1947,,,
adamd101,"Adams","Doug",09/08/1969,,,
adamg102,"Adams","George",06/14/1879,,,
adamg101,"Adams","Glenn",05/04/1975,,,
adamj901,"Adams","Harry",,,,08/26/1897
adamh101,"Adams","Herb",09/17/1948,,,
adamb106,"Adams","Jack",08/30/1910,,,
adamj101,"Adams","Jim",04/21/1890,,,
adamj102,"Adams","Joe",04/26/1902,,,
adamk101,"Adams","Karl",04/19/1914,,,
adaml001,"Adams","Lane",09/01/2014,,,
adamm002,"Adams","Matt",05/20/2012,,,
adamm001,"Adams","Mike",05/18/2004,,,
adamm102,"Adams","Mike",09/10/1972,,,
adamr101,"Adams","Red",05/05/1946,,04/07/1969,
adamr102,"Adams","Rick",07/13/1905,,,
adamr001,"Adams","Ricky",09/15/1982,,,
adamr002,"Adams","Russ",09/03/2004,,,
adamr003,"Adams","Ryan",05/20/2011,,,
adams101,"Adams","Sparky",09/18/1922,,,
adams102,"Adams","Spencer",04/22/1923,,,
adamt001,"Adams","Terry",08/10/1995,,,
adamw001,"Adams","Willie",06/11/1996,,,
adamw101,"Adams","Willie",06/30/1912,,,
adamj001,"Adamson","Joel",04/10/1996,,,
adamm101,"Adamson","Mike",07/01/1967,,,
adcoj101,"Adcock","Joe",04/23/1950,4/11/1967,,
adcon001,"Adcock","Nathan",03/31/2011,,,
addib101,"Addis","Bob",09/01/1950,,,
addir901,"Additon","Ryan",,,,05/21/2017
adduj002,"Adduci","Jim",09/01/2013,,,
adduj001,"Adduci","Jim",09/12/1983,,,
addyb101,"Addy","Bob",05/06/1871,10/04/1875,,10/28/1875
adenn001,"Adenhart","Nick",05/01/2008,,,
aderm101,"Aderholt","Morrie",09/13/1939,,,
adkid103,"Adkins","Dewey",09/19/1942,,,
adkid101,"Adkins","Dick",09/19/1942,,,
adkid102,"Adkins","Doc",06/24/1902,,,
adkig101,"Adkins","Grady",04/13/1928,,,
adkij001,"Adkins","Jon",08/14/2003,,,
adkis001,"Adkins","Steve",09/12/1990,,,
adlet001,"Adleman","Tim",05/01/2016,,,
adleu901,"Adler",,,,,10/10/1884
adled101,"Adlesh","Dave",05/12/1963,,,
adrie001,"Adrianza","Ehire",09/08/2013,,,
afent001,"Afenir","Troy",09/14/1987,,,
affej001,"Affeldt","Jeremy",04/06/2002,,,
agbab001,"Agbayani","Benny",06/17/1998,,,
ageet101,"Agee","Tommie",09/14/1962,,,
aggah101,"Agganis","Harry",04/13/1954,,,
aglej101,"Agler","Joe",10/01/1912,,,
agnes101,"Agnew","Sam",04/10/1913,,,
agosj001,"Agosto","Juan",09/07/1981,,,
agual001,"Aguayo","Luis",04/19/1980,,06/17/2008,
aguic001,"Aguila","Chris",06/28/2004,,,
aguij001,"Aguilar","Jesus",05/15/2014,,,
aguir001,"Aguilera","Rick",06/12/1985,,,
aguih101,"Aguirre","Hank",09/10/1955,,04/15/1972,
aheac101,"Ahearn","William",06/19/1880,,,
aheap001,"Ahearne","Pat",06/14/1995,,,
ahmen001,"Ahmed","Nick",06/29/2014,,,
aikew001,"Aikens","Willie",05/17/1977,,,
aingd101,"Ainge","Danny",05/21/1979,,,
ainse101,"Ainsmith","Eddie",08/09/1910,,,
ainsk001,"Ainsworth","Kurt",09/05/2001,,,
aitcr101,"Aitchison","Raleigh",04/19/1911,,,
aitog101,"Aiton","George",06/29/1912,,,
ake-j101,"Ake","John",05/12/1884,,,
akerj102,"Aker","Jack",05/03/1964,,04/07/1986,
akerd001,"Akerfelds","Darrel",08/01/1986,,06/11/2001,
akerb101,"Akers","Bill",09/08/1929,,,
akerj101,"Akers","Jerry",05/04/1912,,,
albag001,"Alba","Gibson",05/03/1988,,,
albaj001,"Albaladejo","Jonathan",09/05/2007,,,
albaj101,"Albanese","Joe",07/18/1958,,,
albej001,"Alberro","Jose",04/27/1995,,,
albea001,"Albers","Andrew",08/06/2013,,,
albem001,"Albers","Matt",07/25/2006,,,
albeh001,"Alberto","Hanser",05/29/2015,,,
albeb101,"Alberts","Butch",09/07/1978,,,
albec101,"Alberts","Cy",09/17/1910,,,
albeg101,"Alberts","Gus",05/01/1884,,,
albio001,"Albies","Ozzie",08/01/2017,,,
alboe101,"Albosta","Ed",09/03/1941,,,
albre101,"Albrecht","Ed",10/02/1949,,,
albrj101,"Albright","Jack",05/19/1947,,,
albua001,"Alburquerque","Al",04/15/2011,,,
albuv101,"Albury","Vic",08/07/1973,,,
alcas101,"Alcala","Santo",04/10/1976,,,
alcaa001,"Alcantara","Arismendy",07/09/2014,,,
alcai001,"Alcantara","Israel",06/25/2000,,,
alcar001,"Alcantara","Raul",09/05/2016,,,
alcas001,"Alcantara","Sandy",09/03/2017,,,
alcav001,"Alcantara","Victor",09/05/2017,,,
alcal101,"Alcaraz","Luis",09/13/1967,,,
alcos101,"Alcock","Scotty",04/19/1914,,,
alded101,"Alderson","Dale",09/18/1943,,,
