"Age","AttendedBootcamp","BootcampFinish","BootcampLoanYesNo","BootcampName","BootcampRecommend","ChildrenNumber","CityPopulation","CodeEventConferences","CodeEventDjangoGirls","CodeEventFCC","CodeEventGameJam","CodeEventGirlDev","CodeEventHackathons","CodeEventMeetup","CodeEventNodeSchool","CodeEventNone","CodeEventOther","CodeEventRailsBridge","CodeEventRailsGirls","CodeEventStartUpWknd","CodeEventWkdBootcamps","CodeEventWomenCode","CodeEventWorkshops","CommuteTime","CountryCitizen","CountryLive","EmploymentField","EmploymentFieldOther","EmploymentStatus","EmploymentStatusOther","ExpectedEarning","FinanciallySupporting","FirstDevJob","Gender","GenderOther","HasChildren","HasDebt","HasFinancialDependents","HasHighSpdInternet","HasHomeMortgage","HasServedInMilitary","HasStudentDebt","HomeMortgageOwe","HoursLearning","ID.x","ID.y","Income","IsEthnicMinority","IsReceiveDisabilitiesBenefits","IsSoftwareDev","IsUnderEmployed","JobApplyWhen","JobInterestBackEnd","JobInterestDataEngr","JobInterestDataSci","JobInterestDevOps","JobInterestFrontEnd","JobInterestFullStack","JobInterestGameDev","JobInterestInfoSec","JobInterestMobile","JobInterestOther","JobInterestProjMngr","JobInterestQAEngr","JobInterestUX","JobPref","JobRelocateYesNo","JobRoleInterest","JobWherePref","LanguageAtHome","MaritalStatus","MoneyForLearning","MonthsProgramming","NetworkID","Part1EndTime","Part1StartTime","Part2EndTime","Part2StartTime","PodcastChangeLog","PodcastCodeNewbie","PodcastCodePen","PodcastDevTea","PodcastDotNET","PodcastGiantRobots","PodcastJSAir","PodcastJSJabber","PodcastNone","PodcastOther","PodcastProgThrowdown","PodcastRubyRogues","PodcastSEDaily","PodcastSERadio","PodcastShopTalk","PodcastTalkPython","PodcastTheWebAhead","ResourceCodecademy","ResourceCodeWars","ResourceCoursera","ResourceCSS","ResourceEdX","ResourceEgghead","ResourceFCC","ResourceHackerRank","ResourceKA","ResourceLynda","ResourceMDN","ResourceOdinProj","ResourceOther","ResourcePluralSight","ResourceSkillcrush","ResourceSO","ResourceTreehouse","ResourceUdacity","ResourceUdemy","ResourceW3S","SchoolDegree","SchoolMajor","StudentDebtOwe","YouTubeCodeCourse","YouTubeCodingTrain","YouTubeCodingTut360","YouTubeComputerphile","YouTubeDerekBanas","YouTubeDevTips","YouTubeEngineeredTruth","YouTubeFCC","YouTubeFunFunFunction","YouTubeGoogleDev","YouTubeLearnCode","YouTubeLevelUpTuts","YouTubeMIT","YouTubeMozillaHacks","YouTubeOther","YouTubeSimplilearn","YouTubeTheNewBoston"
27,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 to 29 minutes","Canada","Canada","software development and IT",NA,"Employed for wages",NA,NA,NA,NA,"female",NA,NA,1,0,1,0,0,0,NA,15,"02d9465b21e8bd09374b0066fb2d5614","eb78c1c3ac6cd9052aec557065070fbf",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"English","married or domestic partnership",150,6,"6f1fbc6b2b",2017-03-09 00:36:22,"2017-03-09 00:32:59","2017-03-09 00:59:46",2017-03-09 00:36:26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"some college credit, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"Not working but looking for work",NA,35000,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,10,"5bfef9ecb211ec4f518cfc1d2a6f3e0c","21db37adb60cdcafadfa7dca1b13b6b1",NA,0,0,0,NA,"Within 7 to 12 months",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"work for a nonprofit",1,"Full-Stack Web Developer","in an office with other developers","English","single, never married",80,6,"f8f8be6910",2017-03-09 00:37:07,"2017-03-09 00:33:26","2017-03-09 00:38:59",2017-03-09 00:37:10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,"some college credit, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"15 to 29 minutes","United States of America","United States of America","software development and IT",NA,"Employed for wages",NA,70000,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,25,"14f1863afa9c7de488050b82eb3edd96","21ba173828fbe9e27ccebaf4d5166a55",13000,1,0,0,0,"Within 7 to 12 months",1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,"work for a medium-sized company",1,"  Front-End Web Developer, Back-End Web Developer,   DevOps / SysAdmin,   Mobile Developer, Full-Stack Web Developer","no preference","Spanish","single, never married",1000,5,"2ed189768e",2017-03-09 00:37:58,"2017-03-09 00:33:53","2017-03-09 00:40:14",2017-03-09 00:38:02,1,NA,1,NA,NA,NA,NA,NA,NA,"Codenewbie",NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,"high school diploma or equivalent (GED)",NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
26,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I work from home","Brazil","Brazil","software development and IT",NA,"Employed for wages",NA,40000,0,NA,"male",NA,0,1,1,1,1,0,0,40000,14,"91756eb4dc280062a541c25a3d44cfb0","3be37b558f02daae93a6da10f83f0c77",24000,0,0,0,1,"Within the next 6 months",1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"work for a medium-sized company",NA,"  Front-End Web Developer, Full-Stack Web Developer, Back-End Web Developer","from home","Portuguese","married or domestic partnership",0,5,"dbdc0664d1",2017-03-09 00:40:13,"2017-03-09 00:37:45","2017-03-09 00:42:26",2017-03-09 00:40:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"some college credit, no degree",NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
20,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","Portugal",NA,NA,"Not working but looking for work",NA,140000,NA,NA,"female",NA,NA,0,0,1,NA,0,NA,NA,10,"aa3f061a1949a90b27bef7411ecd193f","d7c56bbf2c7b62096be9db010e86d96d",NA,0,0,0,NA,"Within 7 to 12 months",1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,"work for a multinational corporation",1,"Full-Stack Web Developer, Information Security,   Mobile Developer,   Front-End Web Developer, Back-End Web Developer","in an office with other developers","Portuguese","single, never married",0,24,"11b0f2d8a9",2017-03-09 00:42:45,"2017-03-09 00:39:44","2017-03-09 00:45:42",2017-03-09 00:42:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"bachelor's degree","Information Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","Canada",NA,NA,"Unable to work",NA,NA,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,12,"1847ab8a8ad29489407379c3fb6241d9","ea9c5eda6cf40ffccdbb957e83b01f6b",NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"freelance ",NA,NA,NA,"English","single, never married",200,12,"2bb3e97ae9",2017-03-09 00:45:23,"2017-03-09 00:39:35","2017-03-09 00:47:34",2017-03-09 00:45:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"some high school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CodingEntrepreneurs",NA,1
29,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,"30 to 44 minutes","United Kingdom","United Kingdom",NA,"Market research","Employed for wages",NA,30000,NA,NA,"female",NA,NA,1,0,1,1,0,1,120000,16,"5e130f133306abd6c2f9af31467ff37c","fe5e9f175fdfbf18bcf6c85d6e042b68",40000,NA,0,0,0,"I'm already applying",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"work for a medium-sized company",NA,"Full-Stack Web Developer","no preference","English","married or domestic partnership",0,12,"f4abfae20d",2017-03-09 00:45:33,"2017-03-09 00:41:27","2017-03-09 00:48:49",2017-03-09 00:45:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Sololearn",1,NA,1,NA,NA,NA,1,"some college credit, no degree",NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"India","United States of America",NA,NA,"A stay-at-home parent or homemaker",NA,NA,NA,NA,"female",NA,NA,0,0,1,NA,0,NA,NA,15,"5d8b0faa99fa2c8f08da66e8e9e134fa","c2dcab1902f6421863862fe56a343dbb",NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"freelance ",NA,NA,NA,"English","married or domestic partnership",0,4,"5452739947",2017-03-09 00:45:39,"2017-03-09 00:40:15","2017-03-09 00:47:16",2017-03-09 00:45:43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"bachelor's degree","Electrical and Electronics Engineering",NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1
23,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I work from home","United States of America","United States of America","software development and IT",NA,"Employed for wages",NA,NA,NA,1,"female",NA,NA,0,0,1,NA,0,NA,NA,5,"2b817aaea63b77a6a1901d532c1107bc","bfa90e07a60c4686ac435575f58514a1",30000,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English","single, never married",700,29,"5fd14a5321",2017-03-09 00:48:32,"2017-03-09 00:43:34","2017-03-09 00:50:46",2017-03-09 00:48:35,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"some college credit, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,NA,NA,NA,NA,NA,"more than 1 million",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexico","Mexico",NA,NA,"Not working but looking for work",NA,100000,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,2,"369e2da3096d9c81450ee5e632fbc5dd","c5d389c1430c378314d39aaf37baee96",NA,0,0,0,NA,"more than 12 months from now",1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,"work for a medium-sized company",1,"Full-Stack Web Developer,   Quality Assurance Engineer, Game Developer, Back-End Web Developer,   User Experience Designer,   Front-End Web Developer","in an office with other developers","Spanish","single, never married",100,18,"0ff3f9388e",2017-03-09 00:48:32,"2017-03-09 00:45:21","2017-03-09 00:49:50",2017-03-09 00:48:37,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,"high school diploma or equivalent (GED)",NA,NA,NA,1,1,NA,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,1
